,City #,City,Temp,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Country,Date
0,1,castro,73.4,-24.7911,-50.0119,45,23,11.25,BR,1659618536
1,2,tuatapere,53.17,-46.1333,167.6833,87,100,7.52,NZ,1659618641
2,3,hermanus,63.81,-34.4187,19.2345,65,83,15.9,ZA,1659618641
3,4,saldanha,58.77,-33.0117,17.9442,65,48,11.86,ZA,1659618642
4,5,manokwari,77.14,-0.8667,134.0833,81,100,3.36,ID,1659618642
5,6,arraial do cabo,75.06,-22.9661,-42.0278,73,0,20.71,BR,1659618643
6,7,dikson,48.45,73.5069,80.5464,98,100,12.86,RU,1659618643
7,8,la asuncion,80.22,11.0333,-63.8628,79,100,10.13,VE,1659618643
8,9,kalemie,80.58,-5.9475,29.1947,41,22,8.12,CD,1659618644
9,10,albany,80.73,42.6001,-73.9662,69,35,3.87,US,1659618352
10,11,bethel,82.49,41.3712,-73.414,76,0,6.91,US,1659618644
11,12,ushuaia,35.26,-54.8,-68.3,80,40,3.44,AR,1659618645
12,13,kapaa,77.32,22.0752,-159.319,84,20,10.36,US,1659618645
13,14,brae,54.55,60.3964,-1.353,69,97,13.47,GB,1659618193
14,15,mataura,57.47,-46.1927,168.8643,90,100,4.99,NZ,1659618645
15,16,clyde river,38.82,70.4692,-68.5914,93,100,5.37,CA,1659618646
16,17,guadalupe y calvo,52.5,26.1,-106.9667,87,99,4.65,MX,1659618646
17,18,vaini,73.56,-21.2,-175.2,94,40,8.05,TO,1659618646
18,19,dongsheng,73.04,39.8161,109.9776,72,85,6.13,CN,1659618248
19,20,north platte,71.11,41.1239,-100.7654,77,0,11.01,US,1659618507
20,21,worland,63.75,44.0169,-107.9554,39,0,9.22,US,1659618377
21,22,port lincoln,54.59,-34.7333,135.8667,80,96,27.04,AU,1659618647
22,23,bredasdorp,67.03,-34.5322,20.0403,48,69,5.14,ZA,1659618647
23,24,rikitea,69.84,-23.1203,-134.9692,77,100,16.55,PF,1659618648
24,25,arlit,98.29,18.7369,7.3853,29,26,4.94,NE,1659618648
25,26,liverpool,68.14,53.4106,-2.9779,64,40,18.41,GB,1659618417
26,27,jaciara,85.98,-15.9653,-54.9683,26,4,4.7,BR,1659618649
27,28,busselton,52.48,-33.65,115.3333,73,100,8.34,AU,1659618649
28,29,kodiak,56.71,57.79,-152.4072,82,75,3.44,US,1659618649
29,30,cherskiy,42.98,68.75,161.3,92,100,1.95,RU,1659618650
30,31,east london,67.23,-33.0153,27.9116,69,55,13.47,ZA,1659618650
31,32,port elizabeth,64.31,-33.918,25.5701,73,68,8.99,ZA,1659618651
32,33,puerto ayora,68.56,-0.7393,-90.3518,80,96,5.01,EC,1659618651
33,34,kruisfontein,63.09,-34.0033,24.7314,64,91,7.9,ZA,1659618651
34,35,kamaishi,68.22,39.2667,141.8833,89,100,4.56,JP,1659618231
35,36,barrow,48.04,71.2906,-156.7887,74,100,11.25,US,1659618652
36,37,new norfolk,47.7,-42.7826,147.0587,57,100,1.99,AU,1659618652
37,38,piste,75.25,20.7,-88.5833,94,20,4.61,MX,1659618653
38,39,hasaki,72.28,35.7333,140.8333,92,100,13.51,JP,1659618653
39,40,norman wells,52.41,65.282,-126.8329,90,50,0.2,CA,1659618653
40,41,chuy,53.47,-33.6971,-53.4616,95,100,11.72,UY,1659618654
41,42,sola,80.78,-13.8833,167.55,76,18,16.93,VU,1659618654
42,43,lagos,81.21,6.5833,3.75,65,91,7.92,NG,1659618450
43,44,mastung,85.46,29.7994,66.845,31,15,8.37,PK,1659618655
44,45,cape town,64.38,-33.9258,18.4232,67,48,7.0,ZA,1659618655
45,46,haines junction,47.07,60.7522,-137.5108,95,100,0.67,CA,1659618656
46,47,bengkulu,76.51,-3.8004,102.2655,88,100,3.4,ID,1659618656
47,48,riyadh,109.54,24.6877,46.7219,15,92,15.73,SA,1659618651
48,49,havre-saint-pierre,62.96,50.2334,-63.5986,94,100,3.44,CA,1659618656
49,50,tura,77.4,25.5198,90.2201,90,85,0.29,IN,1659618657
50,51,nikolskoye,82.29,59.7035,30.7861,32,58,7.72,RU,1659618657
51,52,beira,74.39,-19.8436,34.8389,64,1,9.86,MZ,1659618657
52,53,kalevala,66.47,65.2,31.1667,86,100,10.78,RU,1659618658
53,54,mosquera,57.29,4.7059,-74.2302,77,40,6.91,CO,1659618658
54,55,kayerkan,68.52,69.3497,87.7602,52,100,2.75,RU,1659618659
55,56,itarema,84.22,-2.9248,-39.9167,55,31,13.87,BR,1659618382
56,57,kargasok,69.51,59.0556,80.8572,53,2,7.36,RU,1659618659
57,58,plettenberg bay,62.22,-34.0527,23.3716,69,53,5.61,ZA,1659618660
58,59,kupang,72.86,-10.1667,123.5833,81,94,8.05,ID,1659618216
59,60,launceston,46.62,-41.45,147.1667,93,36,3.44,AU,1659618660
60,61,koslan,75.61,63.4564,48.8989,39,100,6.22,RU,1659618660
61,62,qaanaaq,43.02,77.484,-69.3632,61,8,3.51,GL,1659618661
62,63,saskylakh,55.15,71.9167,114.0833,63,86,3.2,RU,1659618661
63,64,jamestown,76.59,42.097,-79.2353,66,75,6.91,US,1659618662
64,65,silver city,61.68,32.7701,-108.2803,92,47,5.99,US,1659618662
65,66,bluff,57.79,-46.6,168.3333,82,100,13.8,NZ,1659618662
66,67,butaritari,81.59,3.0707,172.7902,75,100,12.39,KI,1659618663
67,68,hobyo,80.71,5.3505,48.5268,66,93,29.1,SO,1659618663
68,69,provideniya,50.74,64.3833,-173.3,88,100,12.17,RU,1659618663
69,70,mugur-aksy,57.34,50.35,90.5,66,87,6.93,RU,1659618664
70,71,hithadhoo,82.11,-0.6,73.0833,68,91,15.61,MV,1659618665
71,72,traverse city,71.67,44.7631,-85.6206,77,20,4.61,US,1659618252
72,73,avarua,73.45,-21.2078,-159.775,68,75,17.27,CK,1659618666
73,74,tuktoyaktuk,49.15,69.4541,-133.0374,73,100,6.24,CA,1659618666
74,75,cartagena,79.29,10.3997,-75.5144,86,99,6.78,CO,1659618630
75,76,yanam,79.84,16.7333,82.2167,86,94,4.63,IN,1659618667
76,77,isangel,74.97,-19.55,169.2667,89,6,6.13,VU,1659618667
77,78,chirongui,80.53,-12.9319,45.1483,72,8,12.71,YT,1659618668
78,79,makakilo city,73.72,21.3469,-158.0858,76,0,5.75,US,1659618282
79,80,maur,88.07,30.0833,75.25,69,100,4.45,IN,1659618668
80,81,georgetown,82.89,5.4112,100.3354,76,20,3.44,MY,1659618391
81,82,kavieng,82.42,-2.5744,150.7967,76,83,14.45,PG,1659618669
82,83,hobart,48.06,-42.8794,147.3294,76,40,6.91,AU,1659618669
83,84,bubaque,78.3,11.2833,-15.8333,83,100,4.38,GW,1659618669
84,85,miri,79.61,4.4148,114.0089,85,100,7.65,MY,1659618670
85,86,evensk,52.72,61.95,159.2333,98,100,6.76,RU,1659618670
86,87,kolyvan,71.22,55.3053,82.7391,51,100,6.93,RU,1659618671
87,88,adrar,100.89,20.5022,-10.0711,23,1,10.96,MR,1659618671
88,89,kaeo,51.33,-35.1,173.7833,96,21,4.45,NZ,1659618672
89,90,sheltozero,76.62,61.3667,35.3667,49,18,7.9,RU,1659618672
90,91,zhigalovo,54.03,54.8097,105.1578,91,36,1.25,RU,1659618672
91,92,cururupu,84.11,-1.8283,-44.8683,67,5,7.76,BR,1659618673
92,93,oriximina,83.97,-1.7656,-55.8661,58,7,4.23,BR,1659618673
93,94,catuday,81.61,16.2923,119.8062,77,100,5.59,PH,1659618674
94,95,punta arenas,37.51,-53.15,-70.9167,93,75,4.61,CL,1659618674
95,96,yenagoa,83.66,4.9247,6.2642,58,94,5.91,NG,1659618674
96,97,arcata,57.2,40.8665,-124.0828,94,100,4.61,US,1659618647
97,98,airai,57.63,-8.9266,125.4092,92,64,1.77,TL,1659618675
98,99,rio grande,60.91,-32.035,-52.0986,99,100,8.63,BR,1659618194
99,100,zhigansk,51.67,66.7697,123.3711,54,85,18.79,RU,1659618676
100,101,baijiantan,95.04,45.6333,85.1833,21,2,9.13,CN,1659618217
101,102,salalah,78.89,17.0151,54.0924,89,100,4.61,OM,1659618676
102,103,luderitz,62.74,-26.6481,15.1594,65,0,17.58,NA,1659618677
103,104,dalby,61.99,-27.1833,151.2667,77,0,1.99,AU,1659618677
